tpop_2021, tpop_2020, tpop_2015, tpop_2016, tpop_2017, vifsa_name, tpop_2018, lga_name, tpop_2011, tpop_2012, tpop_2013, tpop_2014, tpop_2019, vifsa_code, tpop_2031, tpop_2030, tpop_2028, tpop_2029, tpop_2026, lga_code, tpop_2027, tpop_2024, tpop_2025, tpop_2022, tpop_2023
144923,138043,105169,111552,118020,"VIFSA Epping-Whittlesea District",124647,"Whittlesea (C)",74587,83490,92091,99009,131244,"VIFSA.27070.10",208999,203396,191411,197483,178935,27070,185240,165661,172402,151737,158657
10909,10772,10147,10249,10374,"VIFSA Castlemaine Town",10504,"Mount Alexander (S)",9920,9907,9976,10056,10637,"VIFSA.25430.10",12279,12143,11871,12007,11599,25430,11735,11318,11458,11044,11180
8382,8323,8073,8111,8160,"VIFSA Mount Alexander Rural",8213,"Mount Alexander (S)",7957,7981,8003,8044,8267,"VIFSA.25430.20",8811,8780,8718,8749,8656,25430,8687,8543,8599,8434,8488
10008,9893,9396,9457,9561,"VIFSA Macarthur-Port Fairy District",9669,"Moyne (S)",9076,9188,9288,9346,9780,"VIFSA.25490.10",10962,10870,10692,10780,10521,25490,10606,10310,10414,10107,10208
7083,7072,7020,7046,7049,"VIFSA Mortlake-Woolsthorpe District",7055,"Moyne (S)",7094,7091,7016,7002,7063,"VIFSA.25490.20",7282,7255,7206,7230,7162,25490,7183,7126,7143,7096,7111
6690,6624,6360,6376,6435,"VIFSA Alexandra District",6496,"Murrindindi (S)",6237,6291,6296,6348,6559,"VIFSA.25620.10",7618,7505,7282,7393,7063,25620,7172,6910,6985,6762,6835
7682,7612,7287,7336,7397,"VIFSA Kinglake-Yea District",7469,"Murrindindi (S)",7087,7133,7183,7246,7539,"VIFSA.25620.20",8543,8442,8247,8343,8064,25620,8155,7908,7985,7755,7831
30187,30257,30406,30373,30355,"VIFSA Eltham-Kangaroo Ground District",30348,"Nillumbik (S)",30497,30462,30415,30488,30301,"VIFSA.25710.10",30693,30611,30413,30516,30169,25710,30297,30160,30160,30164,30160
8910,8897,8776,8803,8825,"VIFSA Hurstbridge-St Andrews District",8855,"Nillumbik (S)",8887,8842,8818,8772,8875,"VIFSA.25710.20",9588,9522,9385,9453,9241,25710,9314,9103,9171,8970,9036
25287,25044,23736,23913,24211,"VIFSA Plenty-Wattle Glen District",24504,"Nillumbik (S)",23332,23447,23443,23612,24774,"VIFSA.25710.30",28398,28113,27522,27822,26878,25710,27205,26254,26566,25605,25933
